Name,WAR,Name-additional
,,-9999
Cory Abbott,,abbotco01
CJ Abrams*,0.1,abramcj01
Albert Abreu,0.0,abreual01
Bryan Abreu,,abreubr01
José Abreu,4.2,abreujo02
Domingo Acevedo,,acevedo01
Ronald Acuna Jr.,2.7,acunaro01
Jason Adam,,adamja01
Willy Adames,4.4,adamewi01
Austin Adams,,adamsau02
Riley Adams,0.0,adamsri03
Jo Adell,-0.5,adelljo01
Joan Adon,,adonjo01
Ehire Adrianza#,-0.5,adriaeh01
Jesús Aguilar,-1.0,aguilje01
Ryan Aguilar*,-0.3,aguilry01
Nick Ahmed,-0.1,ahmedni01
Keegan Akin*,,akinke01
Hanser Alberto,-0.1,alberha01
Ozzie Albies#,0.9,albieoz01
Jorge Alcala,,alcaljo01
Sandy Alcantara,,alcansa01
Sergio Alcántara#,-0.1,alcanse01
Jason Alexander,,alexaja01
Scott Alexander*,0.0,alexasc02
Tyler Alexander,,alexaty01
A.J. Alexy,,alexyaj01
Jorge Alfaro,0.8,alfarjo01
Anthony Alford,0.0,alforan01
Kolby Allard*,,allarko01
Cam Alldred*,,alldrca01
Austin Allen*,0.0,allenau01
Greg Allen#,-0.1,allengr01
Logan Allen,,allenlo01
Nick Allen,1.0,allenni02
Abraham Almonte#,0.0,almonab01
Yency Almonte,,almonye01
Albert Almora,0.5,almoral01
Pete Alonso,4.4,alonspe01
Jose Altuve,5.1,altuvjo01
José Alvarado*,0.0,alvarjo03
Eddy Alvarez*,-0.5,alvared01
Francisco Alvarez,0.0,alvarfr01
Jose Alvarez*,,alvarjo02
R.J. Alvarez,,alvarrj01
Yordan Alvarez*,6.8,alvaryo01
Adbert Alzolay,,alzolad01
Brian Anderson,0.5,anderbr06
Chase Anderson,,anderch01
Ian Anderson,,anderia01
Shaun Anderson,,andersh01
Tim Anderson,1.3,anderti01
Tyler Anderson*,0.0,anderty01
Elvis Andrus,3.0,andruel01
Miguel Andujar,0.1,andujmi01
Mark Appel,0.0,appelma01
Aristides Aquino,1.4,aquinar01
Jonathan Aranda*,-0.2,arandjo01
Víctor Arano,,aranovi01
Jonathan Araúz#,-0.5,arauzjo01
Chris Archer,,archech01
Orlando Arcia,0.7,arciaor01
Nolan Arenado,7.9,arenano01
Gabriel Arias,0.2,ariasga01
Kohei Arihara,,arihako01
Shawn Armstrong,,armstsh01
Randy Arozarena,2.8,arozara01
Luis Arraez*,4.3,arraelu01
Christian Arroyo,0.7,arroych01
Aaron Ashby,,ashbyaa01
Graham Ashcraft*,,ashcrgr01
Javier Assad,,assadja01
Willians Astudillo,-0.7,astudwi01
Pedro Avila,,avilape01
José Azocar,0.1,azocajo01
Akil Baddoo*,0.4,baddoak01
Harrison Bader,1.1,baderha01
Ji Hwan Bae*,0.5,baeji01
Javier Báez,2.6,baezja01
Michel Báez,,baezmi01
Pedro Báez,,baezpe01
Bryan Baker,,bakerbr01
Anthony Banda*,,bandaan01
Tanner Banks,,banksta01
Rylan Bannon,-0.2,bannory01
Manny Banuelos,,banuema01
Daniel Bard,0.0,bardda01
Luke Bard,,bardlu01
Luke Barker,,barkelu01
Joe Barlow,0.0,barlojo01
Scott Barlow,0.0,barlosc01
Austin Barnes,0.7,barneau01
Jacob Barnes,,barneja01
Matt Barnes,,barnema01
Tucker Barnhart*,-0.1,barnhtu01
Kyle Barraclough,,barraky01
Luis Barrera*,0.2,barrelu01
Tres Barrera,-0.4,barretr01
Jose Barrero,-1.6,garcijo02
Jaime Barria,,barrija01
Joey Bart,0.8,bartjo01
Anthony Bass,0.0,bassan01
Chris Bassitt,,bassich01
Matthew Batten,-0.1,battema01
Brett Baty*,-0.3,batybr01
Mike Baumann,,baumami01
Félix Bautista,0.0,bautife01
Shane Baz,,bazsh01
Eduard Bazardo,,bazared01
Jeremy Beasley,,beaslje01
Matt Beaty*,-0.7,beatyma01
Tim Beckham,-0.5,beckhti01
David Bednar*,0.0,bednada01
Tyler Beede,,beedety01
Jalen Beeks*,,beeksja02
Seth Beer*,-0.9,beerse01
Josh Bell#,3.0,belljo02
Andrew Bellatti,0.0,bellaan01
Cody Bellinger*,1.2,bellico01
Brayan Bello,,bellobr01
Brandon Belt*,0.3,beltbr01
Anthony Bemboom*,-0.3,bemboan01
Anthony Bender,,bendean01
Andrew Benintendi*,3.2,beninan01
Will Benson*,-0.3,bensowi01
Wynton Bernard,0.1,bernawy01
Brennan Bernardino*,,bernabr01
José Berríos,,berrijo01
Jon Berti,2.5,bertijo01
Christian Bethancourt,0.9,bethach01
Mookie Betts,6.4,bettsmo01
Bo Bichette,3.6,bichebo01
Phil Bickford,0.0,bickfph01
Shane Bieber,,biebesh01
Brandon Bielak*,,bielabr01
Cavan Biggio*,0.9,biggica01
Jake Bird,,birdja01
Ty Blach,,blachty01
Paul Blackburn,,blackpa01
Charlie Blackmon*,-0.2,blackch02
Dairon Blanco,0.0,blancda02
Ronel Blanco,,blancro01
Travis Blankenhorn*,-0.1,blanktr01
JJ Bleday*,-0.5,bledajj01
Richard Bleier*,0.0,bleieri01
Xander Bogaerts,5.9,bogaexa01
Alec Bohm,0.8,bohmal01
Ronald Bolaños,0.0,bolanro01
Skye Bolt#,-0.3,boltsk01
Ryan Borucki*,,borucry01
David Bote,0.9,boteda01
Sean Bouchard,0.9,bouchse01
Brad Boxberger,,boxbebr01
Matthew Boyd*,,boydma01
Silvino Bracho,,brachsi01
Kyle Bradish,,bradiky01
Archie Bradley,,bradlar01
Bobby Bradley*,-0.4,bradlbo01
Jackie Bradley Jr.*,-0.6,bradlja02
Michael Brantley*,1.3,brantmi02
Rob Brantly*,0.0,brantro01
Matt Brash,0.0,brashma01
Ryan Brasier,,brasiry01
Steven Brault*,,braulst01
Huascar Brazoban,,brazohu01
John Brebbia*,,brebbjo01
Alex Bregman,4.5,bregmal01
Will Brennan*,0.4,brennwi02
Jake Brentz*,,brentja01
Austin Brice,,briceau01
Jonah Bride,0.1,bridejo01
Beau Brieske,,briesbe01
Jeff Brigham,,brighje01
Lewis Brinson,-0.2,brinsle01
Zack Britton*,,brittza01
Connor Brogdon,,brogdco01
Aaron Brooks,,brookaa01
Mike Brosseau,0.5,brossmi01
Hunter Brown,,brownhu01
Seth Brown*,1.7,brownse01
JT Brubaker,,brubajt01
Justin Bruihl*,0.0,bruihju01
Vidal Bruján#,-0.6,brujavi01
Kris Bryant,0.4,bryankr01
Kris Bubic*,,bubickr01
Walker Buehler,,buehlwa01
Madison Bumgarner,,bumgama01
Aaron Bummer*,0.0,bummeaa01
Dylan Bundy#,,bundydy01
Peyton Burdick,-0.1,burdipe01
Jake Burger,-0.1,burgeja01
Brock Burke*,,burkebr01
Alec Burleson*,0.0,burleal01
Corbin Burnes,,burneco01
Ryan Burr,,burrry01
Matt Bush,,bushma01
José Butto,,buttojo01
Byron Buxton,4.0,buxtoby01
Edward Cabrera,,cabreed02
Génesis Cabrera*,,cabrege01
Miguel Cabrera,-1.0,cabremi01
Oswaldo Cabrera#,2.0,cabreos01
Lorenzo Cain,-0.2,cainlo01
Kole Calhoun*,-1.5,calhoko01
